1|1
2|1
3|1
4|1
5|1
6|2
7|2
8|2
9|2
10|2
11|3
12|3
13|3
14|3
15|3
16|4
17|4
18|4
19|4
20|4
1|5
2|5
3|5
4|5
5|5
7|6
8|6
9|6
10|6
11|6
12|7
13|7
14|7
15|7
16|7
17|8
18|8
19|8
20|8
1|9
2|9
3|9
4|9
5|9
6|10
7|10
8|10
9|10
10|10
11|11
12|11
13|11
14|11
15|11
16|12
17|12
18|12
19|12
20|12
1|13
2|13
3|13
4|13
5|13
7|14
8|14
9|14
10|14
11|14
12|15
13|15
14|15
15|15
16|15
17|16
18|16
19|16
20|16
1|21
2|21
3|21
4|21
5|21
7|22
8|22
9|22
10|22
11|22
12|23
13|23
14|23
15|23
16|23
17|24
18|24
19|24
20|24
1|24
2|25
3|25
4|25
5|25
6|25
7|26
8|26
9|26
10|26
11|27
12|27
13|27
14|27
15|27
16|28
17|28
18|28
19|28
20|28
1|29
2|29
3|29
4|29
5|29
7|30
8|30
9|30
10|31
11|31
12|32
13|32
14|32
15|32
16|32
17|33
18|33
19|33
20|33
1|34
2|34
3|34
4|34
5|34
7|35
8|35
9|35
10|35
11|35
12|36
13|36
14|36
15|36
16|36
17|37
18|37
19|37
20|37
7|38
8|38
9|38
10|38
11|38
12|39
13|39
14|39
15|39
16|39
17|40
18|40
19|40
20|40
